ford
tid attemp_tp tp 50lat 99lat
5 5665.76 1754.8 179.479 1958.7
13 5654.96 1738.79 176.796 1809.5
11 5600.74 1715.39 174.624 2334.95
8 5587.65 1718.2 175.145 1981.87
6 5586.02 1717.03 173.853 1934.27
14 5581.22 1700.93 176.586 2128.66
10 5571 1711.19 175.689 1776.63
9 5561.02 1705.45 170.822 1741.73
7 5545.54 1708.58 174.146 1792.31
15 5541.01 1714.83 173.305 1824.96
12 5497.7 1707.04 173.961 1961.16
0 4308.88 1765.78 169.643 2197.06
1 3971.4 1834.71 176.937 2776
4 3909.17 1283.15 201.355 4456.77
3 3785.93 1486.21 189.792 4291.25
2 3784.86 1687.75 184.372 3417.55
81152.9 26949.8 169.643 201.355 177.907 1741.73 4456.77 2398.96

